userId,itemIds,scores
0,"[2533, 1761, 1852, 884, 2899, 1188, 1028, 2240, 613, 2436, 1707, 59, 1999, 2248, 1611, 2515, 596, 1308, 1737, 659, 1044, 2191, 458, 1698, 1691, 1598, 891, 1113, 247, 1795, 568, 556, 1714, 1331, 438, 2394, 1035, 2562, 1640, 2354, 1760, 1471, 46, 1945, 211, 2049, 2552, 1018, 1198, 696]","[1.1704773902893066, 1.1438593864440918, 1.1435177326202393, 1.1372357606887817, 1.1102923154830933, 1.0978524684906006, 1.091934084892273, 1.0859297513961792, 1.0784728527069092, 1.0701220035552979, 1.068611741065979, 1.068434715270996, 1.064739465713501, 1.0545971393585205, 1.0523641109466553, 1.0521154403686523, 1.0511924028396606, 1.045300841331482, 1.043984055519104, 1.0439776182174683, 1.0438796281814575, 1.0410114526748657, 1.0402644872665405, 1.0394631624221802, 1.0350834131240845, 1.033761978149414, 1.0322545766830444, 1.0321067571640015, 1.0307615995407104, 1.0300991535186768, 1.0294506549835205, 1.0292420387268066, 1.0282704830169678, 1.0281617641448975, 1.0259264707565308, 1.0256823301315308, 1.0228979587554932, 1.0212211608886719, 1.0210177898406982, 1.0193901062011719, 1.0193639993667603, 1.015714168548584, 1.0157082080841064, 1.0151649713516235, 1.0144370794296265, 1.0134751796722412, 1.012054681777954, 1.0097774267196655, 1.0063115358352661, 1.0060263872146606]"
1,"[7043, 8536, 8493, 6726, 2233, 6182, 6390, 303, 7200, 502, 2526, 7315, 715, 557, 282, 4865, 1459, 341, 8301, 8701, 7355, 8330, 7128, 7523, 8339, 8328, 46, 2412, 2898, 49, 2191, 107, 8573, 7635, 9352, 5630, 1714, 5175, 6976, 3985, 2355, 2617, 3032, 7157, 6705, 1975, 8232, 7270, 9575, 3577]","[1.0135984420776367, 0.9602097868919373, 0.9479699730873108, 0.9056566953659058, 0.904981255531311, 0.9017739295959473, 0.8783911466598511, 0.8728718757629395, 0.8626798391342163, 0.8554700016975403, 0.8548091650009155, 0.8518959283828735, 0.8484918475151062, 0.8471957445144653, 0.8450278043746948, 0.8405424952507019, 0.8395786285400391, 0.8360106945037842, 0.8353257179260254, 0.8199737668037415, 0.8161924481391907, 0.8102257251739502, 0.7950766086578369, 0.7924531698226929, 0.785537600517273, 0.783906102180481, 0.7748600244522095, 0.7724525332450867, 0.772122323513031, 0.7712956666946411, 0.7681829333305359, 0.7618231177330017, 0.7563168406486511, 0.7393102049827576, 0.7213073372840881, 0.7188270688056946, 0.7090795040130615, 0.7085376977920532, 0.707926869392395, 0.7072960138320923, 0.7024636268615723, 0.7008349895477295, 0.7003322839736938, 0.6992626786231995, 0.6973412036895752, 0.6967679262161255, 0.689303457736969, 0.6841228604316711, 0.6838740110397339, 0.6832488775253296]"
2,"[947, 1097, 30, 744, 1182, 3134, 843, 1939, 1760, 1094, 648, 1351, 1064, 1785, 1124, 2745, 2067, 1098, 1029, 1186, 595, 1704, 1037, 795, 1770, 2050, 1086, 4224, 2585, 884, 1019, 897, 624, 502, 3811, 575, 1115, 970, 1107, 1198, 1633, 3349, 4806, 1126, 1068, 1053, 691, 2010, 4217, 951]","[0.9077674746513367, 0.9067065715789795, 0.8857374787330627, 0.8840423226356506, 0.8735503554344177, 0.8456227779388428, 0.8357487916946411, 0.8350679278373718, 0.831091046333313, 0.8306345343589783, 0.7960237264633179, 0.7950023412704468, 0.794232964515686, 0.787779688835144, 0.7851302623748779, 0.7734869122505188, 0.7726758122444153, 0.7614399790763855, 0.7502758502960205, 0.7411237359046936, 0.7382516860961914, 0.7372053861618042, 0.7345764636993408, 0.732616662979126, 0.731897234916687, 0.7301275134086609, 0.7256633639335632, 0.7256515026092529, 0.720108687877655, 0.6968438625335693, 0.6947181224822998, 0.6926531195640564, 0.6913756728172302, 0.6813749670982361, 0.6804395318031311, 0.6784874796867371, 0.6730616092681885, 0.6678899526596069, 0.6602546572685242, 0.6591200828552246, 0.658916711807251, 0.6589152812957764, 0.6588070392608643, 0.6548944115638733, 0.6545318961143494, 0.6500012874603271, 0.6491718292236328, 0.6484215259552002, 0.6461921334266663, 0.645163357257843]"
3,"[784, 502, 1968, 2490, 0, 3182, 557, 1098, 341, 1021, 303, 282, 1069, 931, 791, 1824, 561, 1107, 793, 982, 670, 1052, 947, 2039, 930, 322, 1066, 1110, 2957, 342, 211, 3011, 2436, 327, 2611, 1028, 1462, 933, 1011, 421, 1654, 920, 1129, 568, 890, 47, 2355, 20, 2363, 3421]","[1.2501369714736938, 1.2257376909255981, 1.1887840032577515, 1.1658430099487305, 1.1646687984466553, 1.1607444286346436, 1.116336464881897, 1.113772988319397, 1.1028345823287964, 1.0824916362762451, 1.0739423036575317, 1.0723814964294434, 1.065453052520752, 1.0601558685302734, 1.0595901012420654, 1.0581989288330078, 1.0552735328674316, 1.0544185638427734, 1.0487542152404785, 1.0433260202407837, 1.0417263507843018, 1.0405701398849487, 1.0390366315841675, 1.0325556993484497, 1.0282148122787476, 1.0276458263397217, 1.0197864770889282, 1.0195268392562866, 1.0193430185317993, 1.0183638334274292, 1.0138638019561768, 1.012893795967102, 1.0121409893035889, 1.0108816623687744, 1.0108346939086914, 1.010671615600586, 1.0090745687484741, 1.0090333223342896, 1.007790207862854, 1.0075474977493286, 1.0063577890396118, 1.0047229528427124, 1.0014948844909668, 1.000911831855774, 1.0008020401000977, 0.9993922710418701, 0.9991929531097412, 0.9987202286720276, 0.99803626537323, 0.9955226182937622]"
4,"[557, 282, 458, 341, 553, 329, 46, 139, 435, 502, 303, 559, 274, 555, 107, 240, 556, 438, 561, 33, 554, 9, 285, 352, 349, 49, 365, 142, 196, 150, 38, 391, 218, 334, 324, 477, 362, 485, 20, 342, 551, 301, 514, 552, 31, 278, 10, 154, 173, 252]","[1.0267698764801025, 1.0206298828125, 1.0183850526809692, 1.0125572681427002, 1.011746883392334, 0.9995155334472656, 0.9937412738800049, 0.9837440252304077, 0.9826169013977051, 0.9824268817901611, 0.978664219379425, 0.9777848124504089, 0.9760420322418213, 0.974063515663147, 0.9740181565284729, 0.9730373024940491, 0.9700645208358765, 0.9700219631195068, 0.9629833698272705, 0.9618932008743286, 0.9594523906707764, 0.952109158039093, 0.9520450830459595, 0.9517232775688171, 0.9486141204833984, 0.948481559753418, 0.9483069777488708, 0.9443615078926086, 0.9440202713012695, 0.9399890899658203, 0.9397440552711487, 0.9391838312149048, 0.939173698425293, 0.9309031367301941, 0.9290669560432434, 0.9288119077682495, 0.9256071448326111, 0.9162503480911255, 0.9153931736946106, 0.9096231460571289, 0.909096360206604, 0.90678471326828, 0.9006402492523193, 0.9004201292991638, 0.8947944045066833, 0.89432692527771, 0.889517068862915, 0.8894864320755005, 0.8841082453727722, 0.8833287358283997]"
5,"[368, 84, 266, 262, 299, 323, 13, 7, 217, 638, 97, 324, 191, 20, 361, 515, 500, 72, 206, 104, 38, 347, 570, 154, 588, 61, 22, 6, 4, 396, 591, 240, 401, 279, 14, 213, 575, 239, 109, 726, 127, 569, 278, 220, 312, 468, 322, 492, 252, 676]","[1.2870962619781494, 1.2259087562561035, 1.1813817024230957, 1.181054711341858, 1.1585686206817627, 1.1536920070648193, 1.1426736116409302, 1.1372750997543335, 1.1166608333587646, 1.1146501302719116, 1.1138540506362915, 1.1118292808532715, 1.1027568578720093, 1.1007335186004639, 1.0998868942260742, 1.0944478511810303, 1.0935579538345337, 1.0903780460357666, 1.0871965885162354, 1.0854276418685913, 1.0840764045715332, 1.0808618068695068, 1.0806540250778198, 1.0770370960235596, 1.076517105102539, 1.0752078294754028, 1.0741920471191406, 1.072068214416504, 1.071842074394226, 1.0717031955718994, 1.0714627504348755, 1.0694535970687866, 1.0655330419540405, 1.0652966499328613, 1.0643478631973267, 1.064045786857605, 1.0614619255065918, 1.0610891580581665, 1.0551642179489136, 1.052945852279663, 1.0520967245101929, 1.0512635707855225, 1.0488241910934448, 1.0474517345428467, 1.0453896522521973, 1.0447843074798584, 1.0428826808929443, 1.0423318147659302, 1.0419340133666992, 1.040113091468811]"
6,"[1647, 688, 2229, 4427, 5084, 4154, 5177, 3348, 651, 1372, 3635, 139, 4410, 2281, 5441, 6206, 748, 3417, 3749, 2355, 1470, 0, 951, 3682, 2302, 2640, 3222, 1714, 5090, 792, 1440, 6265, 6327, 4494, 4184, 1068, 4318, 3065, 3148, 670, 556, 1605, 247, 1348, 1971, 6271, 6260, 596, 4099, 1344]","[1.1179046630859375, 1.0758614540100098, 1.072212815284729, 1.0673763751983643, 1.065088152885437, 1.0569981336593628, 1.051889419555664, 1.0512614250183105, 1.0429928302764893, 1.0405683517456055, 1.0403071641921997, 1.036548137664795, 1.0354747772216797, 1.0257526636123657, 1.0233738422393799, 1.0149723291397095, 1.014930248260498, 1.014272689819336, 1.0084844827651978, 1.0065163373947144, 1.0063117742538452, 1.0050175189971924, 1.0035725831985474, 1.002166986465454, 1.0005625486373901, 0.9980974793434143, 0.9976201057434082, 0.9962242245674133, 0.9961320161819458, 0.9947368502616882, 0.993094265460968, 0.9922037720680237, 0.9910325407981873, 0.988893985748291, 0.9880533814430237, 0.9876260757446289, 0.9873839020729065, 0.9869783520698547, 0.986123263835907, 0.9859836101531982, 0.9859747886657715, 0.9855616688728333, 0.9830291271209717, 0.9828908443450928, 0.9822304844856262, 0.9820535182952881, 0.9816102385520935, 0.9813706874847412, 0.9796114563941956, 0.9790536761283875]"
7,"[139, 329, 218, 553, 142, 365, 555, 438, 556, 150, 341, 173, 324, 559, 557, 278, 282, 458, 352, 301, 314, 334, 154, 561, 38, 196, 303, 9, 477, 240, 107, 362, 349, 33, 415, 46, 285, 514, 274, 435, 552, 554, 391, 551, 20, 49, 31, 0, 213, 502]","[1.0167728662490845, 1.0146270990371704, 1.0083107948303223, 1.0034644603729248, 0.9992997050285339, 0.9984781742095947, 0.9973839521408081, 0.996646523475647, 0.9934118986129761, 0.9855251312255859, 0.9848387241363525, 0.9840055108070374, 0.9835853576660156, 0.9803855419158936, 0.9797468185424805, 0.9792981743812561, 0.9786685705184937, 0.9784929752349854, 0.9783705472946167, 0.9773587584495544, 0.9755131006240845, 0.974940836429596, 0.9746983051300049, 0.9710450768470764, 0.9614826440811157, 0.961434543132782, 0.9605791568756104, 0.9581989049911499, 0.9576984643936157, 0.9573987126350403, 0.953323245048523, 0.9526845812797546, 0.9523583054542542, 0.9500036835670471, 0.9497790336608887, 0.9450486898422241, 0.9436705708503723, 0.9434718489646912, 0.9396510720252991, 0.9383946657180786, 0.929954469203949, 0.9281103610992432, 0.9254276752471924, 0.9196080565452576, 0.9153691530227661, 0.9048487544059753, 0.9048421382904053, 0.8883811235427856, 0.8876791000366211, 0.8860630393028259]"
8,"[4797, 804, 4833, 1697, 4427, 1709, 4774, 899, 1092, 949, 1432, 2857, 803, 4318, 4536, 1950, 2715, 4829, 4480, 4515, 580, 1036, 40, 4410, 356, 4486, 5094, 3166, 2478, 4790, 1673, 3836, 4856, 4791, 4867, 1032, 1018, 4766, 3503, 4841, 4482, 1765, 4898, 4789, 4838, 5453, 2454, 159, 1020, 1055]","[0.8851746916770935, 0.8659873604774475, 0.8403686285018921, 0.8376271724700928, 0.834298312664032, 0.8271620869636536, 0.8247203230857849, 0.8241949677467346, 0.8143891096115112, 0.8142220377922058, 0.8103174567222595, 0.8099424839019775, 0.8069683313369751, 0.8037202954292297, 0.796846866607666, 0.7951512336730957, 0.7868986129760742, 0.7866169214248657, 0.7826968431472778, 0.7687546014785767, 0.765214741230011, 0.7598758339881897, 0.7508378028869629, 0.7494344115257263, 0.7407198548316956, 0.7385767698287964, 0.7384973764419556, 0.7364138960838318, 0.7294973731040955, 0.7280336022377014, 0.7236019372940063, 0.7207897305488586, 0.716667890548706, 0.7124017477035522, 0.7121824026107788, 0.7039766311645508, 0.696522057056427, 0.6908183693885803, 0.685694694519043, 0.6829233169555664, 0.6826274991035461, 0.6808510422706604, 0.6806665062904358, 0.6806656718254089, 0.6806432008743286, 0.6680574417114258, 0.6667340397834778, 0.6600528955459595, 0.6561995148658752, 0.6468802094459534]"
9,"[3749, 1470, 5094, 5447, 3638, 1459, 3572, 9659, 341, 5177, 9352, 6418, 7399, 4154, 8877, 8155, 7136, 6137, 9620, 3635, 7996, 4947, 9550, 6210, 2273, 7679, 6976, 5630, 6182, 2898, 7434, 4318, 6971, 8007, 9676, 4829, 6155, 2233, 7215, 8181, 8756, 303, 8493, 8252, 5802, 6726, 8220, 3287, 6459, 1714]","[1.1206645965576172, 1.112700343132019, 1.107549786567688, 1.1051430702209473, 1.0830703973770142, 1.0819953680038452, 1.0756511688232422, 1.0651601552963257, 1.0623059272766113, 1.0589890480041504, 1.058092713356018, 1.0530102252960205, 1.0506190061569214, 1.0389039516448975, 1.0316075086593628, 1.0288015604019165, 1.0209333896636963, 1.014413833618164, 1.0140938758850098, 1.0105382204055786, 1.007878065109253, 1.007723331451416, 1.005374550819397, 1.000609278678894, 0.999421238899231, 0.9990556836128235, 0.997336208820343, 0.9962412118911743, 0.9921059608459473, 0.9912506341934204, 0.9885088801383972, 0.9871595501899719, 0.9857598543167114, 0.9856810569763184, 0.9828616976737976, 0.9822278618812561, 0.9804068803787231, 0.978921115398407, 0.9762731790542603, 0.9695888757705688, 0.9695591330528259, 0.9663244485855103, 0.9660714864730835, 0.9567680358886719, 0.9533430933952332, 0.9491406083106995, 0.9469602108001709, 0.9452987313270569, 0.9440362453460693, 0.943302571773529]"
