userId,itemIds
78,"[4306, 1197, 8961, 2, 1580, 367, 5460, 377, 8464, 364]"
82,"[4306, 364, 1197, 69122, 5418, 7361, 1682, 4954, 367, 1265]"
121,"[6377, 4306, 4886, 8961, 50872, 50658, 5218, 79091, 364, 3114]"
144,"[6377, 8961, 4306, 1197, 26712, 364, 50872, 2797, 7826, 54259]"
186,"[6377, 1197, 26712, 8961, 109374, 79132, 1270, 7826, 4954, 73017]"
232,"[6377, 7579, 296, 318, 527, 858, 593, 7361, 48516, 79132]"
234,"[6377, 4306, 8961, 4886, 3114, 50658, 50872, 108932, 134853, 152081]"
239,"[1197, 1307, 356, 318, 109374, 164909, 58559, 97921, 79132, 7361]"
283,"[4886, 1197, 4306, 2291, 551, 7147, 66097, 2124, 837, 531]"
322,"[4306, 1197, 6377, 8961, 135436, 109374, 4954, 7566, 108932, 6378]"
323,"[6377, 364, 4306, 1197, 318, 112556, 539, 1732, 2028, 110]"
372,"[3114, 364, 4306, 6377, 4886, 588, 8961, 595, 50658, 50872]"
378,"[4306, 8961, 4886, 79091, 1197, 6377, 108932, 50872, 152081, 52767]"
451,"[6377, 364, 134853, 50658, 1197, 318, 2324, 47099, 7147, 7826]"
462,"[8961, 7361, 1197, 2571, 296, 4973, 318, 109374, 58559, 79132]"
476,"[6377, 5618, 1197, 8961, 2161, 4886, 7826, 2005, 7147, 48780]"
492,"[6377, 2739, 2324, 46578, 1197, 318, 4973, 4993, 1246, 164909]"
525,"[8961, 3948, 1213, 3578, 2502, 2762, 318, 296, 364, 2571]"
533,"[6377, 364, 4306, 4886, 2081, 588, 595, 81847, 75395, 166461]"
51,"[1036, 58559, 296, 69122, 7361, 79132, 97921, 48516, 164909, 8533]"
116,"[3489, 1120, 17, 581, 367, 272, 288, 531, 457, 261]"
288,"[179401, 4954, 1197, 2617, 1198, 2005, 8972, 40851, 367, 46972]"
24,"[56587, 86882, 4954, 1197, 2005, 109374, 1013, 6378, 7826, 69406]"
150,"[56587, 1784, 7149, 69406, 73015, 94070, 97921, 140110, 49286, 7293]"
425,"[140110, 97921, 69406, 109374, 8533, 69122, 88163, 5418, 1197, 6942]"
480,"[5299, 69406, 4246, 97921, 88163, 2572, 6942, 2671, 49286, 104374]"
521,"[94070, 97921, 8533, 2028, 109374, 1183, 6942, 55052, 105, 91126]"
559,"[1784, 109374, 97921, 6711, 86882, 46578, 7361, 1197, 4973, 104374]"
573,"[1197, 2005, 1, 356, 1258, 364, 1682, 2762, 4886, 593]"
133,"[2156, 72737, 3554, 1907, 2154, 364, 2739, 62553, 595, 88810]"
177,"[4, 13, 63, 85, 93, 101, 178, 233, 238, 250]"
286,"[1678, 3844, 1271, 2739, 1958, 105, 261, 8533, 6942, 597]"
332,"[122, 1477, 2156, 5664, 48150, 3554, 8534, 4759, 33815, 43684]"
381,"[94070, 4954, 88810, 7451, 109374, 48516, 46578, 97921, 318, 164909]"
387,"[1678, 3554, 2739, 8533, 3844, 88810, 1271, 105, 81191, 47099]"
402,"[4069, 69406, 97921, 31685, 45501, 110771, 162602, 88163, 112556, 88405]"
404,"[2156, 165, 1604, 1094, 2803, 3257, 457, 1678, 225, 454]"
453,"[1197, 6942, 8533, 109374, 97921, 7826, 86882, 111921, 88163, 2005]"
464,"[2739, 1197, 3844, 531, 17, 8643, 54259, 46578, 8533, 7147]"
534,"[2739, 3844, 318, 1197, 46578, 88810, 6942, 3147, 8533, 356]"
588,"[47099, 97921, 48516, 88163, 88810, 158238, 69406, 112556, 4954, 4246]"
6,"[2424, 11, 539, 8533, 1307, 69406, 6942, 2671, 597, 4246]"
28,"[296, 1732, 4011, 2542, 608, 48516, 57669, 38061, 555, 158238]"
46,"[1013, 500, 5299, 3948, 1777, 1682, 46578, 56367, 109374, 97921]"
64,"[318, 858, 296, 356, 58559, 2571, 2959, 79132, 593, 48516]"
103,"[1013, 2424, 69406, 8533, 5418, 97921, 111921, 112556, 88163, 67255]"
160,"[318, 296, 1213, 48516, 109374, 57669, 608, 4011, 1732, 2542]"
215,"[1197, 97921, 1307, 6942, 8533, 86882, 109374, 7361, 164909, 318]"
220,"[1777, 1213, 1673, 106916, 106782, 5989, 69122, 4954, 48516, 7178]"
391,"[1197, 500, 7826, 46578, 109374, 86882, 1682, 56587, 92259, 69122]"
418,"[1013, 1192, 2268, 81591, 926, 5991, 6663, 899, 2763]"
435,"[1197, 595, 4306, 364, 56152, 1, 2081, 588, 1028, 81847]"
437,"[539, 2424, 357, 2671, 1197, 1307, 6942, 4246, 49286, 104374]"
555,"[141, 457, 1183, 367, 2762, 1197, 318, 1682, 858, 364]"
562,"[357, 1192, 154, 266, 468, 509, 2289, 515, 7178, 89904]"
587,"[500, 586, 2, 367, 344, 1013, 837, 1197, 3489, 8961]"
313,"[48516, 318, 296, 58559, 112556, 88129, 8533, 858, 79132, 164909]"
361,"[296, 1912, 457, 555, 3176, 7361, 2762, 1197, 1682, 6711]"
362,"[48516, 7147, 1197, 318, 1035, 79132, 1682, 48780, 2762, 112556]"
438,"[48516, 586, 318, 1198, 1197, 858, 58559, 1, 296, 2571]"
469,"[48516, 55765, 1197, 318, 858, 79132, 58559, 296, 2571, 2959]"
45,"[5103, 1197, 1259, 2005, 2918, 318, 1198, 1270, 356, 1682]"
202,"[5103, 837, 1197, 2005, 1259, 586, 318, 1682, 1013, 2918]"
235,"[5103, 1912, 866, 637, 695, 7007, 725, 799, 1047, 1120]"
279,"[1197, 531, 8533, 318, 5418, 111921, 91500, 7178, 2762, 364]"
368,"[5103, 6378, 97921, 1197, 318, 8533, 1198, 69122, 7361, 109374]"
494,"[2005, 4135, 4128, 2052, 2617, 2, 2710, 7045, 93840, 531]"
498,"[2005, 1197, 1259, 2918, 1246, 5103, 1682, 318, 1198, 356]"
536,"[2005, 1036, 6378, 457, 1198, 6, 318, 4954, 58559, 79132]"
586,"[2005, 4954, 1198, 1197, 318, 112852, 296, 6378, 58559, 109374]"
603,"[2005, 1213, 48394, 1681, 784, 480, 1682, 2006, 457, 1197]"
608,"[1197, 2005, 1259, 7826, 7147, 109374, 94959, 1682, 318, 356]"
